fecha,precio_promedio_real,precio_promedio_pronostico
2020-02-01,404.3233333333333,123.85270144509089
2015-06-01,195.071138,122.04966583555239
2018-12-04,101.11946633333334,118.4320017082724
2014-08-07,257.703955,118.80397166013759
2015-08-14,215.4580126666667,117.86475415869367
2003-07-20,71.92701066666667,115.72157586351706
1999-09-22,32.29538,115.01017012849213
2004-06-06,52.17797633333333,119.66716517197013
2016-09-07,269.82027166666666,119.09905292152371
2001-12-28,30.305869,112.12195849925708
2014-08-29,178.06031233333331,114.77429192236097
2002-07-31,46.69215833333334,114.4020311373941
2020-12-11,146.04166666666666,116.73938532208113
1999-03-15,20.644905,119.75729564558374
2012-01-12,55.653199666666666,121.79129441859338
2011-04-01,85.13073133333334,122.28245596174168
2018-01-31,121.91969866666666,118.46493287042613
2012-10-09,192.520942,118.06973407444173
2005-02-28,71.97370566666667,118.01813072573412
2008-05-06,117.706385,120.97947543918576
2019-03-23,204.555828,118.8383972353178
2015-04-09,188.15099333333333,121.05186987511567
2003-06-21,64.74853,116.71147755065755
1998-12-23,21.51065,113.21365752542928
2007-09-05,74.55109666666667,118.9411828185858
1999-05-01,21.576285,120.46378293675627
2003-05-15,74.041277,118.58108321425371
2004-04-30,68.313838,115.99139579521035
2011-11-19,65.71209599999999,115.06069497560127
2017-04-17,92.13608333333332,119.96603044894253
2002-07-21,44.01103333333333,116.00355478812156
2019-08-07,150.4256773333333,119.25075269912608
2014-09-24,142.14581433333333,115.54244794019213
1996-06-03,1.8479166666666669,120.46029996426729
2009-04-11,75.207555,120.12608628589004
2006-10-29,92.13075533333334,113.10595349830886
2005-12-04,74.410093,117.06882674063588
2011-01-17,89.77492766666667,121.12386332834707
2010-03-28,181.26958666666667,117.1326574066416
2014-06-02,371.1812396666666,121.23914288115529
1998-04-04,70.39045166666666,120.85276726387781
2007-09-25,73.69713833333333,115.0385428315539
2015-10-10,966.802428,117.63788354842154
2013-05-30,87.01967833333333,116.17703511065142
2017-04-20,112.687545,118.95609441357439
2007-04-10,92.784511,120.62033809670389
2007-11-18,57.53679666666667,114.87818595150901
2012-11-22,140.606609,114.6651184903454
2011-04-17,37.493924,118.90488985984167
2000-12-20,55.67959966666666,113.94407228532445
2005-08-11,97.11470066666668,117.98112811608489
2015-04-07,182.08917800000003,121.72516056536108
2015-12-06,737.9605846666667,117.28909812836746
2008-06-20,72.784115,117.23821450996674
1998-05-24,23.313076666666664,116.16983118408346
2014-03-16,128.24755966666666,119.80471130704748
2021-01-11,158.79,122.41284961739859
2013-07-20,185.6148843333333,116.4803633264739
1996-11-25,34.291666666666664,113.46540958839915
2019-01-30,298.449502,118.72920488532239
2007-12-28,73.23997933333332,112.49636620801914
2020-12-07,135.83666666666667,118.08596670257207
2009-06-10,124.14293933333336,119.58887232582669
2019-06-30,117.016356,115.75828692141283
2001-12-02,33.07703566666667,117.22296306166642
1998-01-22,151.70112833333334,118.8989691304559
2009-05-01,96.93964333333334,121.10065558993126
2007-12-11,94.50585433333332,116.33249246482376
2019-05-15,149.56783399999998,119.71427838597266
2004-09-12,49.25077,116.92370020318799
1996-08-31,1.9973333333333327,113.23446753063138
2017-09-20,112.92267599999998,116.53713471498355
2016-08-16,258.15455233333336,117.92773782834256
2001-05-25,41.80137533333333,116.30279872862022
1998-12-03,28.06535833333333,117.11629751246124
2020-03-16,316.5466666666667,120.86585189614834
1999-01-20,26.76745,119.49988649047485
2005-08-01,71.97599233333334,120.40415926217125
2020-01-02,254.39916666666667,124.30921199796886
2015-02-08,164.06618433333333,121.99282529538418
2005-10-04,58.55983166666667,118.64227873139896
1998-02-28,97.51917666666668,117.02936346685972
2005-05-10,74.14915699999999,119.98478866439432
2006-02-04,64.07000833333332,122.37347126767162
2001-08-07,38.206879,118.26230418786002
2018-02-24,139.341144,119.08487208314368
2000-10-05,55.156257333333336,117.85885234728777
1997-11-01,138.48145,117.8207501303366
2020-11-10,219.4745833333333,117.85632675996631
2004-05-12,78.75152266666667,119.3838713043753
2018-09-08,71.27926866666667,118.73957572573005
2004-08-18,50.58068466666666,116.64040633559311
2008-09-03,57.539365333333336,119.4073255635847
2007-08-07,112.25184733333332,118.63671189662209
2009-07-31,131.58298366666668,114.56929090090956
2012-09-21,218.482242,115.75370833087223
1999-05-19,25.55474333333333,117.65876976968867
2001-07-17,36.81147766666667,117.30059468905704
2009-12-09,234.7898363333333,116.72626187959618
2004-06-16,50.22155966666667,118.06564152124268
2019-12-16,355.1795153333333,116.20672884685496
2018-04-19,127.012295,119.22036642847068
1996-11-01,1.968,117.77120865078112
2003-04-10,86.47859899999999,120.10118372748892
2005-01-19,78.605913,120.07616492933954
2010-12-25,64.82245533333334,112.73007150796896
1995-09-26,11.8685,114.08785668392721
2003-08-12,64.78967666666667,117.92400404643519
2015-12-12,613.250651,116.21264836277197
2011-08-19,65.79334366666667,116.60579536900599
2001-05-15,51.873042,118.7258298747066
2015-12-23,717.6806413333334,114.27447936692178
2002-01-25,50.378943,118.40818746430267
2000-05-30,32.321099,115.63536763837389
2001-10-13,49.32802166666667,116.1586533710023
1999-02-02,26.06469333333333,122.75758738461965
2018-07-11,88.79535966666667,119.437866296145
2007-04-17,95.13034433333333,119.20724298598567
2009-01-13,129.11081433333334,121.67176906415001
2012-11-15,181.64480233333333,116.07821360106364
2012-07-02,77.88952366666668,120.60359344884576
2016-01-18,680.0212263333334,121.23399902221283
2000-06-01,37.97391666666667,120.70932271858692
2021-04-13,154.6475,120.88834389350751
2009-12-31,138.01422533333334,112.1503312023188
