,ano,mes,dia,tipo_dia,festivo,fin_semana,y
6865,2014,5,6,1,0,1,431.2542553333333
1000,1998,4,15,2,0,1,63.56020166666667
4585,2008,2,7,3,0,1,108.14370466666666
7670,2016,7,19,1,0,1,131.91648633333332
8679,2019,4,24,2,0,1,138.421234
2898,2003,6,26,3,0,1,63.48603
1269,1999,1,9,5,0,0,27.59245
3592,2005,5,20,4,0,1,64.09390699999999
4826,2008,10,5,6,0,0,69.02146733333333
1192,1998,10,24,5,0,0,26.070986666666663
696,1997,6,15,6,0,0,26.63958
6285,2012,10,3,2,0,1,256.395515
3605,2005,6,2,3,0,1,66.83876166666667
7058,2014,11,15,5,0,0,157.14407833333334
7932,2017,4,7,4,0,1,108.83875133333332
6601,2013,8,15,3,0,1,134.77656266666668
3424,2004,12,3,4,0,1,65.04790566666667
7157,2015,2,22,6,0,0,174.707865
3995,2006,6,27,1,0,1,63.13394466666667
3841,2006,1,24,1,0,1,78.275713
1446,1999,7,5,0,1,1,26.46430666666667
7719,2016,9,6,1,0,1,246.367998
7834,2016,12,30,4,0,1,97.34092433333336
274,1996,4,19,4,0,1,4.927083333333333
606,1997,3,17,0,0,1,29.41752333333333
7816,2016,12,12,0,0,1,93.31691233333332
675,1997,5,25,6,0,0,35.56701333333333
2369,2002,1,13,6,0,0,37.47477633333333
8930,2019,12,31,1,0,1,274.955101
5524,2010,9,3,4,0,1,102.267933
5232,2009,11,15,6,0,0,143.9244196666667
5154,2009,8,29,5,0,0,140.76739033333334
9122,2020,7,10,4,0,1,151.27916666666667
3484,2005,2,1,1,0,1,85.11537233333333
8581,2019,1,16,2,0,1,220.2062873333333
1884,2000,9,15,4,0,1,68.94436
7618,2016,5,28,5,0,0,151.1749593333333
8865,2019,10,27,6,0,0,169.06661
5906,2011,9,20,1,0,1,99.39656066666667
6159,2012,5,30,2,0,1,48.11395533333334
9290,2020,12,25,4,1,1,182.4141666666667
873,1997,12,9,1,0,1,127.396125
2546,2002,7,9,1,0,1,38.796616666666665
8350,2018,5,30,2,0,1,69.388861
1165,1998,9,27,6,0,0,22.2234
5771,2011,5,8,6,0,0,40.57792366666666
9093,2020,6,11,3,0,1,400.8404166666666
228,1996,3,4,0,0,1,5.6883333333333335
7716,2016,9,3,5,0,0,174.82009533333334
8155,2017,11,16,3,0,1,156.572584
1405,1999,5,25,1,0,1,26.36041
1976,2000,12,16,5,0,0,53.38759966666667
7924,2017,3,30,3,0,1,75.14759333333333
8540,2018,12,6,3,0,1,107.97421033333336
3305,2004,8,6,4,0,1,60.951518
5948,2011,11,1,1,0,1,63.32564366666667
3913,2006,4,6,3,0,1,63.792214
8156,2017,11,17,4,0,1,151.76646133333333
1703,2000,3,18,5,0,0,37.706667
9135,2020,7,23,3,0,1,173.05583333333334
3217,2004,5,10,0,0,1,77.151731
5293,2010,1,15,4,0,1,168.11080866666666
6921,2014,7,1,1,0,1,188.577889
1629,2000,1,4,1,0,1,41.68895466666667
7393,2015,10,16,4,0,1,1004.3700276666668
5360,2010,3,23,1,0,1,167.049968
6763,2014,1,24,4,0,1,159.73000033333332
5673,2011,1,30,6,0,0,106.277955
6482,2013,4,18,3,0,1,391.2218306666667
5519,2010,8,29,6,0,0,93.85258066666664
9397,2021,4,11,6,0,0,135.39
7144,2015,2,9,0,0,1,151.388336
3477,2005,1,25,1,0,1,73.41320466666667
5564,2010,10,13,2,0,1,140.687005
4710,2008,6,11,2,0,1,81.89982333333334
189,1996,1,25,3,0,1,15.919791666666669
5411,2010,5,13,3,0,1,151.20595966666667
4125,2006,11,4,5,0,0,87.858332
7743,2016,9,30,4,0,1,197.2076473333333
3912,2006,4,5,2,0,1,70.07304733333334
5007,2009,4,4,5,0,0,79.54047166666668
3881,2006,3,5,6,0,0,91.11078633333334
5143,2009,8,18,1,0,1,118.295023
8210,2018,1,10,2,0,1,134.31906766666663
2195,2001,7,23,0,0,1,37.593186
3166,2004,3,20,5,0,0,72.119998
9313,2021,1,17,6,0,0,158.27833333333334
9020,2020,3,30,0,0,1,227.40166666666667
6260,2012,9,8,5,0,0,157.13419433333334
2612,2002,9,13,4,0,1,50.08650533333334
5831,2011,7,7,3,0,1,47.423835
5969,2011,11,22,1,0,1,68.98466966666666
5373,2010,4,5,0,0,1,195.8643793333333
2053,2001,3,3,5,0,0,79.97894966666667
6265,2012,9,13,3,0,1,163.79215166666663
6,1995,7,26,2,0,1,1.108625
6438,2013,3,5,1,0,1,209.417874
5737,2011,4,4,0,0,1,90.80401033333334
6990,2014,9,8,0,0,1,182.4861703333333
2170,2001,6,28,3,0,1,44.93865300000001
6586,2013,7,31,2,0,1,218.90672633333327
5892,2011,9,6,1,0,1,96.8847
1278,1999,1,18,0,0,1,29.932033333333333
1640,2000,1,15,5,0,0,33.034788
6011,2012,1,3,1,0,1,58.60061566666667
4973,2009,3,1,6,0,0,119.85030366666666
8330,2018,5,10,3,0,1,74.602801
2416,2002,3,1,4,0,1,51.070489
1944,2000,11,14,1,0,1,47.72878666666667
3934,2006,4,27,3,0,1,61.519672333333325
533,1997,1,3,4,0,1,21.348311666666664
1597,1999,12,3,4,0,1,30.301620000000003
399,1996,8,22,3,0,1,3.875
5039,2009,5,6,2,0,1,110.90231
1538,1999,10,5,1,0,1,34.229245
2225,2001,8,22,2,0,1,44.506254000000006
1403,1999,5,23,6,0,0,23.59641
7796,2016,11,22,1,0,1,139.33007033333334
6384,2013,1,10,3,0,1,181.61804866666668
4834,2008,10,13,0,1,1,57.97146733333333
626,1997,4,6,6,0,0,28.344228333333334
3662,2005,7,29,4,0,1,72.91903266666667
6302,2012,10,20,5,0,0,180.7264563333333
4479,2007,10,24,2,0,1,66.33527033333333
1715,2000,3,30,3,0,1,35.367417
1866,2000,8,28,0,0,1,51.81889133333333
7572,2016,4,12,1,0,1,329.743499
3941,2006,5,4,3,0,1,63.508623
8020,2017,7,4,1,0,1,66.11115466666666
5574,2010,10,23,5,0,0,129.13947933333333
3475,2005,1,23,6,0,0,79.51724633333335
2117,2001,5,6,6,0,0,46.35970866666667
2318,2001,11,23,4,0,1,37.473378
137,1995,12,4,0,0,1,134.96995833333332
233,1996,3,9,5,0,0,3.965
8895,2019,11,26,1,0,1,209.876795
9032,2020,4,11,5,0,0,245.36666666666667
1605,1999,12,11,5,0,0,30.844203333333336
5230,2009,11,13,4,0,1,140.66850300000002
3875,2006,2,27,0,0,1,91.205925
3213,2004,5,6,3,0,1,72.93943933333334
3937,2006,4,30,6,0,0,56.45704733333333
7389,2015,10,12,0,1,1,1022.166131
17,1995,8,6,6,0,0,2.387583333333333
5915,2011,9,29,3,0,1,82.02101833333333
7774,2016,10,31,0,0,1,157.03383666666667
5446,2010,6,17,3,0,1,81.35011833333333
1174,1998,10,6,1,0,1,21.239736666666666
4933,2009,1,20,1,0,1,120.944981
2665,2002,11,5,1,0,1,51.238029
8720,2019,6,4,1,0,1,124.79062799999998
983,1998,3,29,6,0,0,83.90331
3623,2005,6,20,0,0,1,58.055011666666665
6900,2014,6,10,1,0,1,364.51335166666667
2971,2003,9,7,6,0,0,61.05811133333333
2836,2003,4,25,4,0,1,73.637349
3655,2005,7,22,4,0,1,72.96969933333334
9123,2020,7,11,5,0,0,132.59916666666666
4877,2008,11,25,1,0,1,78.33379366666666
607,1997,3,18,1,0,1,26.601981666666664
1384,1999,5,4,1,0,1,28.69099333333334
1247,1998,12,18,4,0,1,21.758316666666666
830,1997,10,27,0,0,1,133.9044033333333
8169,2017,11,30,3,0,1,88.59577
7722,2016,9,9,4,0,1,203.26613066666667
2970,2003,9,6,5,0,0,62.77006966666666
8798,2019,8,21,2,0,1,116.741092
60,1995,9,18,0,0,1,8.454916666666668
230,1996,3,6,2,0,1,6.425541666666667
25,1995,8,14,0,0,1,33.19025
7979,2017,5,24,2,0,1,64.043307
4613,2008,3,6,3,0,1,94.04607166666666
780,1997,9,7,6,0,0,91.13344166666668
7094,2014,12,21,6,0,0,181.9196553333333
3147,2004,3,1,0,0,1,81.35178966666666
7814,2016,12,10,5,0,0,72.492575
4967,2009,2,23,0,0,1,103.44443566666666
8294,2018,4,4,2,0,1,138.79035100000002
6410,2013,2,5,1,0,1,214.5861453333333
2577,2002,8,9,4,0,1,45.89977833333333
1170,1998,10,2,4,0,1,23.178486666666668
1057,1998,6,11,3,0,1,19.74682333333333
4744,2008,7,15,1,0,1,51.288411
4534,2007,12,18,1,0,1,101.721896
890,1997,12,26,4,0,1,113.5565
2601,2002,9,2,0,0,1,45.377963666666666
463,1996,10,25,4,0,1,3.9807083333333337
3540,2005,3,29,1,0,1,71.18196333333333
168,1996,1,4,3,0,1,23.575
4728,2008,6,29,6,0,0,46.03765666666666
3465,2005,1,13,3,0,1,85.95057966666667
4165,2006,12,14,3,0,1,61.22413666666667
3211,2004,5,4,1,0,1,71.42806433333334
7493,2016,1,24,6,0,0,557.247779
8176,2017,12,7,3,0,1,81.15309166666667
8512,2018,11,8,3,0,1,91.19883166666666
2414,2002,2,27,2,0,1,59.69105
4209,2007,1,27,5,0,0,100.95310966666666
5583,2010,11,1,0,1,1,122.63315166666666
4649,2008,4,11,4,0,1,96.50220766666666
8766,2019,7,20,5,1,0,112.69387033333334
1580,1999,11,16,1,0,1,32.33595666666667
2887,2003,6,15,6,0,0,71.08103
2955,2003,8,22,4,0,1,68.16301
1097,1998,7,21,1,0,1,18.415496666666662
8552,2018,12,18,1,0,1,201.59541633333333
158,1995,12,25,0,1,1,13.261625
3146,2004,2,29,6,0,0,64.07699966666667
701,1997,6,20,4,0,1,28.97683
8810,2019,9,2,0,0,1,204.05924066666668
3153,2004,3,7,6,0,0,75.789998
1270,1999,1,10,6,0,0,25.071616666666667
7200,2015,4,6,0,0,1,183.115959
5098,2009,7,4,5,0,0,116.594692
1702,2000,3,17,4,0,1,38.16500033333333
4492,2007,11,6,1,0,1,65.90154666666666
3052,2003,11,27,3,0,1,63.979826333333335
6647,2013,9,30,0,0,1,148.29730266666667
2915,2003,7,13,6,0,0,71.85192733333334
4089,2006,9,29,4,0,1,134.24230133333336
3906,2006,3,30,3,0,1,54.73578633333333
3134,2004,2,17,1,0,1,73.50679133333334
1315,1999,2,24,2,0,1,23.73186
7825,2016,12,21,2,0,1,138.88354133333334
2340,2001,12,15,5,0,0,39.97570233333334
5899,2011,9,13,1,0,1,106.15667566666669
2775,2003,2,23,6,0,0,70.25552133333333
313,1996,5,28,1,0,1,1.8572916666666668
6357,2012,12,14,4,0,1,195.55332566666667
5186,2009,9,30,2,0,1,269.796592
1394,1999,5,14,4,0,1,24.84641
2834,2003,4,23,2,0,1,77.747974
5398,2010,4,30,4,0,1,164.4290146666667
8886,2019,11,17,6,0,0,171.843651
8206,2018,1,6,5,0,0,136.32859566666667
8770,2019,7,24,2,0,1,119.48394166666668
5279,2010,1,1,4,1,1,120.50122533333332
6637,2013,9,20,4,0,1,135.88042900000002
9375,2021,3,20,5,0,0,131.77833333333334
5707,2011,3,5,5,0,0,80.929791
5883,2011,8,28,6,0,0,74.34025833333332
8762,2019,7,16,1,0,1,130.53585566666666
5926,2011,10,10,0,0,1,85.96917766666667
3636,2005,7,3,6,0,0,60.10757433333333
2738,2003,1,17,4,0,1,69.41681766666666
2718,2002,12,28,5,0,0,60.96732433333333
4217,2007,2,4,6,0,0,102.70522833333332
8204,2018,1,4,3,0,1,144.26584333333332
6857,2014,4,28,0,0,1,445.9988026666667
3876,2006,2,28,1,0,1,88.830925
2031,2001,2,9,4,0,1,83.76447233333333
1117,1998,8,10,0,0,1,20.19744333333333
2013,2001,1,22,0,0,1,83.17342233333333
5701,2011,2,27,6,0,0,97.71170566666666
1426,1999,6,15,1,0,1,26.88433666666667
3892,2006,3,16,3,0,1,65.67353633333333
1168,1998,9,30,2,0,1,26.60744166666667
6675,2013,10,28,0,0,1,291.92151033333334
4189,2007,1,7,6,0,0,83.99227633333334
1231,1998,12,2,2,0,1,30.883233333333333
7191,2015,3,28,5,0,0,210.83494566666664
1812,2000,7,5,2,0,1,41.346665
8168,2017,11,29,2,0,1,88.01087633333333
5745,2011,4,12,1,0,1,97.46289933333334
8618,2019,2,22,4,0,1,376.925401
5329,2010,2,20,5,0,0,276.9737456666667
5176,2009,9,20,6,0,0,182.5049253333333
3279,2004,7,11,6,0,0,45.839299
8920,2019,12,21,5,0,0,337.263526
5237,2009,11,20,4,0,1,155.445253
3620,2005,6,17,4,0,1,58.65501166666667
3176,2004,3,30,1,0,1,69.97349799999999
8956,2020,1,26,6,0,0,369.02
4459,2007,10,4,3,0,1,96.26835366666668
6748,2014,1,9,3,0,1,161.12289033333334
2094,2001,4,13,4,1,1,54.53184033333333
1365,1999,4,15,3,0,1,23.24296
4496,2007,11,10,5,0,0,49.26471333333333
7777,2016,11,3,3,0,1,183.47662166666663
4806,2008,9,15,0,0,1,94.29282366666666
6034,2012,1,26,3,0,1,59.34800333333334
2432,2002,3,17,6,0,0,59.199364
5531,2010,9,10,4,0,1,93.464463
4116,2006,10,26,3,0,1,101.57846366666666
7371,2015,9,24,3,0,1,804.0080136666667
178,1996,1,14,6,0,0,26.48333333333333
1486,1999,8,14,5,0,0,30.576466666666665
1880,2000,9,11,0,0,1,54.15302666666667
3327,2004,8,28,5,0,0,50.801518
8879,2019,11,10,6,0,0,291.49677966666667
4630,2008,3,23,6,0,0,60.19773833333334
8349,2018,5,29,1,0,1,69.12417166666667
5352,2010,3,15,0,0,1,164.84562466666668
6477,2013,4,13,5,0,0,259.43022433333334
7539,2016,3,10,3,0,1,884.365687
8817,2019,9,9,0,0,1,214.8140803333333
4935,2009,1,22,3,0,1,120.14081433333332
1336,1999,3,17,2,0,1,21.795613333333336
2415,2002,2,28,3,0,1,88.54238333333332
6869,2014,5,10,5,0,0,453.92906266666665
5041,2009,5,8,4,0,1,99.89735166666668
6149,2012,5,20,6,0,0,39.024098333333335
8541,2018,12,7,4,0,1,115.63936133333334
5104,2009,7,10,4,0,1,84.81719199999999
2919,2003,7,17,3,0,1,72.10151066666667
7525,2016,2,25,3,0,1,868.2509086666668
8240,2018,2,9,4,0,1,133.96944066666666
8029,2017,7,13,3,0,1,71.084041
5046,2009,5,13,2,0,1,101.75226833333332
6264,2012,9,12,2,0,1,159.86640300000002
1698,2000,3,13,0,0,1,36.144167
5322,2010,2,13,5,0,0,175.26501500000003
3439,2004,12,18,5,0,0,63.181239
2216,2001,8,13,0,0,1,37.71521233333333
31,1995,8,20,6,0,0,2.068041666666667
50,1995,9,8,4,0,1,15.391666666666666
5201,2009,10,15,3,0,1,161.55700299999998
4845,2008,10,24,4,0,1,104.651884
5940,2011,10,24,0,0,1,73.04426866666667
5037,2009,5,4,0,0,1,110.64022666666666
6922,2014,7,2,2,0,1,151.72786033333333
3262,2004,6,24,3,0,1,48.632143000000006
973,1998,3,19,3,0,1,91.941685
8431,2018,8,19,6,0,0,77.01487066666667
976,1998,3,22,6,0,0,94.46706
2727,2003,1,6,0,1,1,63.97098433333333
5561,2010,10,10,6,0,0,120.36484666666666
8547,2018,12,13,3,0,1,190.83868
2745,2003,1,24,4,0,1,73.34110933333334
6856,2014,4,27,6,0,0,459.41724099999993
7382,2015,10,5,0,0,1,1803.799301
4868,2008,11,16,6,0,0,94.57746033333336
3608,2005,6,5,6,0,0,52.09251166666667
6324,2012,11,11,6,0,0,168.21447766666668
1364,1999,4,14,2,0,1,24.11191833333333
2372,2002,1,16,2,0,1,40.899776333333335
2516,2002,6,9,6,0,0,31.877158
6722,2013,12,14,5,0,0,173.03156233333334
7323,2015,8,7,4,1,1,179.963653
4969,2009,2,25,2,0,1,129.30168566666666
4904,2008,12,22,0,0,1,139.930175
1379,1999,4,29,3,0,1,21.47341833333333
6520,2013,5,26,6,0,0,54.544143
2736,2003,1,15,2,0,1,67.53410933333333
3085,2003,12,30,1,0,1,54.83979200000001
3145,2004,2,28,5,0,0,72.688458
4393,2007,7,30,0,0,1,88.85018166666667
5358,2010,3,21,6,0,0,160.59444133333332
4525,2007,12,9,6,0,0,87.62577099999999
1494,1999,8,22,6,0,0,30.4098
7299,2015,7,14,1,0,1,224.5989803333333
6165,2012,6,5,1,0,1,51.10554199999999
2134,2001,5,23,2,0,1,47.77637533333333
908,1998,1,13,1,0,1,124.823795
2697,2002,12,7,5,0,0,67.57232433333333
7958,2017,5,3,2,0,1,90.48610466666668
2443,2002,3,28,3,1,1,36.72382233333333
318,1996,6,2,6,0,0,1.261875
935,1998,2,9,0,0,1,179.044135
3237,2004,5,30,6,0,0,52.593606
401,1996,8,24,5,0,0,5.15
1229,1998,11,30,0,0,1,25.428206666666668
245,1996,3,21,3,0,1,1.9166666666666667
527,1996,12,28,5,0,0,36.011583333333334
5261,2009,12,14,0,0,1,257.72341966666664
1063,1998,6,17,2,0,1,20.315573333333333
1932,2000,11,2,3,0,1,48.12295333333333
592,1997,3,3,0,0,1,24.44627333333333
5331,2010,2,22,0,0,1,305.1457076666666
7401,2015,10,24,5,0,0,794.9506943333332
7664,2016,7,13,2,0,1,126.49047266666668
2228,2001,8,25,5,0,0,36.906879
8907,2019,12,8,6,1,0,266.7238536666667
9158,2020,8,15,5,0,0,154.30666666666664
1299,1999,2,8,0,0,1,25.202610000000004
5860,2011,8,5,4,0,1,72.02075366666666
5323,2010,2,14,6,0,0,173.58301500000002
3238,2004,5,31,0,0,1,60.16027266666666
1626,2000,1,1,5,1,0,32.868121333333335
773,1997,8,31,6,0,0,38.149746666666665
5433,2010,6,4,4,0,1,78.75993566666666
4041,2006,8,12,5,0,0,65.84261333333333
5025,2009,4,22,2,0,1,97.12968
8765,2019,7,19,4,0,1,115.723058
6780,2014,2,10,0,0,1,190.7805163333333
1207,1998,11,8,6,0,0,24.539873333333333
1558,1999,10,25,0,0,1,32.77253666666667
1636,2000,1,11,1,0,1,33.993121333333335
7768,2016,10,25,1,0,1,227.891745
5905,2011,9,19,0,0,1,92.28426533333334
4983,2009,3,11,2,0,1,110.35955366666668
2014,2001,1,23,1,0,1,87.065089
6374,2012,12,31,0,0,1,158.945351
5753,2011,4,20,2,0,1,54.20917933333333
7861,2017,1,26,3,0,1,144.22684166666667
5092,2009,6,28,6,0,0,124.52502266666666
1129,1998,8,22,5,0,0,21.350401666666667
1889,2000,9,20,2,0,1,72.05136
2067,2001,3,17,5,0,0,75.401033
2394,2002,2,7,3,0,1,53.08305000000001
7844,2017,1,9,0,1,1,122.175195
6952,2014,8,1,4,0,1,364.3250023333333
6229,2012,8,8,2,0,1,131.78482266666666
6344,2012,12,1,5,0,0,166.887729
2689,2002,11,29,4,0,1,56.21023733333334
8943,2020,1,13,0,0,1,356.5091666666667
4213,2007,1,31,2,0,1,93.18227633333332
1641,2000,1,16,6,0,0,32.284788
855,1997,11,21,4,0,1,145.77886666666666
9267,2020,12,2,2,0,1,120.80916666666668
8997,2020,3,7,5,0,0,361.4008333333333
2358,2002,1,2,2,0,1,29.59665133333333
8623,2019,2,27,2,0,1,338.38551466666667
7271,2015,6,16,1,0,1,213.0755083333333
5910,2011,9,24,5,0,0,95.152907
2844,2003,5,3,5,0,0,79.32906866666666
3634,2005,7,1,4,0,1,60.480491
6781,2014,2,11,1,0,1,212.91474066666663
7914,2017,3,20,0,1,1,115.071209
9301,2021,1,5,1,0,1,171.19999999999996
7804,2016,11,30,2,0,1,179.2914843333333
661,1997,5,11,6,0,0,28.387305
3111,2004,1,25,6,0,0,59.60024933333333
2187,2001,7,15,6,0,0,38.506686
9386,2021,3,31,2,0,1,155.60166666666666
5872,2011,8,17,2,0,1,99.47786033333334
6297,2012,10,15,0,1,1,207.75046366666663
3061,2003,12,6,5,0,0,46.214792
7639,2016,6,18,5,0,0,272.41195866666664
5297,2010,1,19,1,0,1,159.668267
5585,2010,11,3,2,0,1,117.01607466666668
891,1997,12,27,5,0,0,124.992
4713,2008,6,14,5,0,0,75.03765666666668
2032,2001,2,10,5,0,0,79.97693066666666
9128,2020,7,16,3,0,1,147.89833333333334
3882,2006,3,6,0,0,1,86.44411966666667
2086,2001,4,5,3,0,1,65.68021533333334
1552,1999,10,19,1,0,1,31.89112
4936,2009,1,23,4,0,1,130.029981
5508,2010,8,18,2,0,1,85.670929
5309,2010,1,31,6,0,0,124.55530866666668
3509,2005,2,26,5,0,0,63.298289
3378,2004,10,18,0,1,1,72.08312333333333
9173,2020,8,30,6,0,0,151.10833333333335
3721,2005,9,26,0,0,1,77.956442
4510,2007,11,24,5,0,0,62.28304666666667
3702,2005,9,7,2,0,1,91.04060866666669
608,1997,3,19,2,0,1,22.032398333333333
7517,2016,2,17,2,0,1,854.2416586666667
766,1997,8,24,6,0,0,32.06074666666667
721,1997,7,10,3,0,1,27.06331
4807,2008,9,16,1,0,1,85.09049033333334
6084,2012,3,16,4,0,1,137.98712366666666
8021,2017,7,5,2,0,1,64.90935133333333
4635,2008,3,28,4,0,1,103.76657166666666
1719,2000,4,3,0,0,1,42.581663
5192,2009,10,6,1,0,1,271.93679333333336
6196,2012,7,6,4,0,1,77.60328666666668
2660,2002,10,31,3,0,1,52.49544533333333
1326,1999,3,7,6,0,0,20.256363333333336
